model,config,layer,layer_mean_cosine_over_languages
mbert,use1_use0_con2_max250_bat64,11,0.9690142974793894
mbert,use1_use0_con2_max250_bat64,12,0.9166723558012032
mbert,use1_use0_con2_max250_bat64,ALL,0.9786276687523362
mbert,use1_use0_con2_max500_bat32,1,0.9986495855022726
mbert,use1_use0_con2_max500_bat32,2,0.9997794271298993
mbert,use1_use0_con2_max500_bat32,3,0.9999534150387897
mbert,use1_use0_con2_max500_bat32,4,0.9999005189543382
mbert,use1_use0_con2_max500_bat32,5,0.9949651856786497
mbert,use1_use0_con2_max500_bat32,6,0.9880779597944762
mbert,use1_use0_con2_max500_bat32,7,0.9823748829169666
mbert,use1_use0_con2_max500_bat32,8,0.9749759023538402
mbert,use1_use0_con2_max500_bat32,9,0.9784302390891249
mbert,use1_use0_con2_max500_bat32,10,0.978977073607046
mbert,use1_use0_con2_max500_bat32,11,0.9798698550515235
mbert,use1_use0_con2_max500_bat32,12,0.935076543250762
mbert,use1_use0_con2_max500_bat32,ALL,0.9842525490306407
mbert,use1_use0_con2_max500_bat64,1,0.9986718131009861
mbert,use1_use0_con2_max500_bat64,2,0.9997840667118272
mbert,use1_use0_con2_max500_bat64,3,0.9999516903503224
mbert,use1_use0_con2_max500_bat64,4,0.9998999137549438
mbert,use1_use0_con2_max500_bat64,5,0.9951513278994606
mbert,use1_use0_con2_max500_bat64,6,0.9881381988366613
mbert,use1_use0_con2_max500_bat64,7,0.9824229140680897
mbert,use1_use0_con2_max500_bat64,8,0.9749935959805789
mbert,use1_use0_con2_max500_bat64,9,0.9769708653889753
mbert,use1_use0_con2_max500_bat64,10,0.979698189106378
mbert,use1_use0_con2_max500_bat64,11,0.9802425571443003
mbert,use1_use0_con2_max500_bat64,12,0.9286559237465374
mbert,use1_use0_con2_max500_bat64,ALL,0.9837150880074219
mbert,use1_use0_con4_max250_bat32,1,0.9983270534987831
mbert,use1_use0_con4_max250_bat32,2,0.999720383596008
mbert,use1_use0_con4_max250_bat32,3,0.9999455204956611
mbert,use1_use0_con4_max250_bat32,4,0.9998797143992209
mbert,use1_use0_con4_max250_bat32,5,0.9939248792702386
mbert,use1_use0_con4_max250_bat32,6,0.9858786017853687
mbert,use1_use0_con4_max250_bat32,7,0.9789994238825818
mbert,use1_use0_con4_max250_bat32,8,0.9677060629080014
mbert,use1_use0_con4_max250_bat32,9,0.9713464058686201
mbert,use1_use0_con4_max250_bat32,10,0.9727278588793304
mbert,use1_use0_con4_max250_bat32,11,0.9737218154690737
mbert,use1_use0_con4_max250_bat32,12,0.9120294579299137
mbert,use1_use0_con4_max250_bat32,ALL,0.9795172648319
mbert,use1_use0_con4_max250_bat64,1,0.9985011862781956
mbert,use1_use0_con4_max250_bat64,2,0.9997491250819968
mbert,use1_use0_con4_max250_bat64,3,0.9999443300111285
mbert,use1_use0_con4_max250_bat64,4,0.9998794531701767
mbert,use1_use0_con4_max250_bat64,5,0.9924673369071387
mbert,use1_use0_con4_max250_bat64,6,0.9859344772799666
mbert,use1_use0_con4_max250_bat64,7,0.9798054001022001
mbert,use1_use0_con4_max250_bat64,8,0.9637179640722732
mbert,use1_use0_con4_max250_bat64,9,0.9691911720646939
mbert,use1_use0_con4_max250_bat64,10,0.9686549267796701
mbert,use1_use0_con4_max250_bat64,11,0.9690142974793894
mbert,use1_use0_con4_max250_bat64,12,0.9166723558012032
mbert,use1_use0_con4_max250_bat64,ALL,0.9786276687523362
mbert,use1_use0_con4_max500_bat32,1,0.9986495855022726
mbert,use1_use0_con4_max500_bat32,2,0.9997794271298993
mbert,use1_use0_con4_max500_bat32,3,0.9999534150387897
mbert,use1_use0_con4_max500_bat32,4,0.9999005189543382
mbert,use1_use0_con4_max500_bat32,5,0.9949651856786497
