model,config_id,use_cls,use_context,use_hybrid,max_tokens_per_type,context_window,layer,score,run_dir,csv_path,scope
xlmr,7,True,True,True,500,0,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,500,3,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,500,1,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,500,2,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,500,0,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,4,True,True,False,500,0,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,500,1,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,500,0,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,500,3,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,500,2,12,0.9995979696531123,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,300,1,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_300_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_300_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,300,0,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,300,3,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_300_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_300_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,300,2,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_300_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_300_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,300,1,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_300_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_300_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,300,2,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_300_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_300_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,300,0,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,300,3,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_300_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_300_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,7,True,True,True,300,0,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,4,True,True,False,300,0,12,0.9995814703735565,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,200,2,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_200_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_200_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,200,0,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_200_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_200_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,200,3,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_200_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_200_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,200,3,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_200_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_200_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,4,True,True,False,200,0,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_200_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_200_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,200,1,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_200_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_200_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,7,True,True,True,200,0,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_200_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_200_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,200,1,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_200_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_200_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,200,2,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_200_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_200_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,200,0,12,0.9995533082596696,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_200_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_200_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,6,False,True,True,200,0,12,0.997141410411,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_200_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_200_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,200,0,12,0.997141410411,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_200_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_200_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,200,0,12,0.9971414104109998,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_200_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_200_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,200,3,12,0.9971414104109998,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_200_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_200_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,200,2,12,0.9971414104109998,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_200_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_200_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,2,False,True,False,200,0,12,0.9971414104109998,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_200_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_200_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,200,1,12,0.9971414104109998,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_200_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_200_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,200,3,12,0.9971414104109998,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_200_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_200_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,200,1,12,0.9971414104109998,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_200_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_200_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,200,2,12,0.9971414104109998,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_200_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_200_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,400,3,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,400,0,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,400,2,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,400,2,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,6,False,True,True,400,0,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,2,False,True,False,400,0,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,400,1,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,400,1,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,400,0,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,400,3,12,0.9971272125054055,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,300,3,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_300_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_300_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,300,0,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,300,1,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_300_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_300_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,300,2,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_300_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_300_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,300,0,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,300,1,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,6,False,True,True,300,0,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,300,2,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,300,3,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,2,False,True,False,300,0,12,0.9971208201091967,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,4,True,True,False,400,2,12,0.9967575326793254,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_400_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/mptc_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_400_ctx2/pearson_to_run_layer12.csv,final_layer_only
